group;Respons;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
a;1;2;3;3;3;4;4;4;4;4;4
a;2;4;4;4;4;3;4;4;3;4;4
a;3;3;4;4;3;3;3;3;4;3;3
a;4;3;3;3;4;4;3;3;4;4;4
a;5;4;4;4;3;3;4;4;3;3;3
a;6;4;3;3;4;4;3;3;4;4;4
a;7;3;4;4;3;3;4;4;3;3;3
a;8;4;3;3;4;4;3;3;4;4;4
a;9;3;4;4;3;3;4;4;3;3;3
a;10;4;3;3;4;4;3;3;3;4;4
a;11;3;4;4;3;3;4;4;3;3;3
a;12;4;3;3;4;4;3;3;4;4;4
a;13;3;4;4;3;3;3;3;3;4;4
a;14;4;4;4;4;4;3;3;2;4;4
a;15;3;4;4;3;3;4;4;4;3;3
a;16;4;3;3;4;3;3;3;3;4;4
a;17;3;4;4;2;4;3;4;3;3;4
a;18;4;3;3;3;4;4;4;4;2;3
a;19;3;4;4;4;3;3;4;3;4;3
a;20;3;4;3;4;4;3;3;4;3;4
a;21;3;3;4;3;4;4;4;4;4;3
a;22;4;4;4;4;4;3;4;3;3;4
a;23;3;3;4;3;4;4;3;4;4;3
a;24;4;3;3;3;4;4;4;4;3;4
a;25;4;4;4;4;3;4;4;3;4;3
a;26;4;3;4;4;3;2;3;4;3;4
a;27;4;4;3;4;4;4;4;3;4;3
a;28;3;4;4;3;4;3;3;4;3;3
a;29;3;4;3;4;3;4;4;3;4;3
b;30;3;4;4;3;4;3;2;4;3;4
b;31;4;4;3;4;4;4;4;3;2;3
b;32;3;4;4;3;4;3;3;4;4;3
b;33;3;4;3;4;3;4;4;3;4;4
b;34;4;4;4;3;4;3;3;4;3;3
b;35;3;2;3;4;3;4;4;3;4;3
b;36;4;3;4;3;4;3;3;4;4;4
b;37;4;4;3;2;3;4;4;3;4;4
b;38;4;3;4;3;4;3;3;4;3;4
b;39;4;4;3;4;3;4;4;3;4;3
b;40;4;3;4;3;4;4;4;4;3;4
b;41;4;4;3;2;3;4;4;3;4;4
b;42;4;4;4;4;4;3;3;4;3;4
b;43;4;4;3;3;3;4;4;3;4;3
b;44;3;4;4;3;4;3;3;2;3;4
b;45;3;4;4;4;3;4;4;4;4;3
b;46;4;4;4;3;3;4;3;4;3;4
b;47;3;4;4;4;3;3;4;3;4;3
b;48;4;3;3;4;4;4;4;4;3;4
b;49;3;4;3;4;3;3;4;3;4;3
b;50;3;4;3;4;4;3;3;3;3;4
b;51;4;4;4;4;4;4;4;4;4;3
b;52;4;4;3;4;4;3;4;3;4;4
b;53;4;4;3;4;4;4;3;4;4;3
b;54;3;4;4;4;3;4;4;3;3;4
b;55;4;4;3;3;4;3;4;3;4;3
b;56;4;4;4;3;3;3;3;4;3;3
b;57;4;3;4;4;4;3;4;3;4;4
b;58;4;3;4;3;3;4;3;4;4;4
